iter	Passed	Remaining
0	0	89
1	1	78
2	2	75
3	3	72
4	3	68
5	4	65
6	4	63
7	5	60
8	5	59
9	6	57
10	7	57
11	7	56
12	8	55
13	9	55
14	9	54
15	10	53
16	10	52
17	11	52
18	12	52
19	13	53
20	13	51
21	14	50
22	14	49
23	15	48
24	15	47
25	16	46
26	17	46
27	17	45
28	18	44
29	18	44
30	19	43
31	19	42
32	20	41
33	21	40
34	21	40
35	22	39
36	22	38
37	23	38
38	24	37
39	24	37
40	25	36
41	26	36
42	27	35
43	27	35
44	28	34
45	28	33
46	29	33
47	29	32
48	30	31
49	30	30
50	31	30
51	32	29
52	32	28
53	33	28
54	33	27
55	34	26
56	34	26
57	35	25
58	35	24
59	36	24
60	37	23
61	37	23
62	38	22
63	39	21
64	39	21
65	40	20
66	41	20
67	41	19
68	42	19
69	42	18
70	43	17
71	44	17
72	44	16
73	45	15
74	45	15
75	46	14
76	46	13
77	47	13
78	47	12
79	48	12
80	48	11
81	49	10
82	49	10
83	50	9
84	51	9
85	51	8
86	52	7
87	52	7
88	53	6
89	54	6
90	55	5
91	55	4
92	56	4
93	56	3
94	57	3
95	57	2
96	58	1
97	59	1
98	59	0
99	60	0
